Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
2.35 0 0 -20 0 LOS -inf 66.4389
2.36 0 0 -20 0 LOS -inf 66.4395
2.37 0 0 -20 0 LOS -inf 66.44
2.38 0 0 -20 0 LOS -inf 66.4405
2.39 0 0 -20 0 LOS -inf 66.441
2.4 0 0 -20 0 LOS -inf 66.4415
2.41 0 0 -20 0 LOS -inf 66.442
2.42 0 0 -20 0 LOS -inf 66.4425
2.43 0 0 -20 0 LOS -inf 66.443
2.44 0 0 -20 0 LOS -inf 66.4436
2.45 0 0 -20 0 LOS -inf 66.4441
2.46 0 0 -20 0 LOS -inf 66.4446
2.47 0 0 -20 0 LOS -inf 66.4451
2.48 0 0 -20 0 LOS -inf 66.4457
2.49 0 0 -20 0 LOS -inf 66.4462
2.5 0 0 -20 0 LOS -inf 66.4467
2.51 0 0 -20 0 LOS -inf 66.4473
2.52 0 0 -20 0 LOS -inf 66.4478
2.53 0 0 -20 0 LOS -inf 66.4483
2.54 0 0 -20 0 LOS -inf 66.4489
2.55 0 0 -20 0 LOS -inf 66.4494
2.56 0 0 -20 0 LOS -inf 66.45
2.57 0 0 -20 0 LOS -inf 66.4505
2.58 0 0 -20 0 LOS -inf 66.4511
2.59 0 0 -20 0 LOS -inf 66.4516
2.6 0 0 -20 0 LOS -inf 66.4522
2.61 0 0 -20 0 LOS -inf 66.4527
2.62 0 0 -20 0 LOS -inf 66.4533
2.63 0 0 -20 0 LOS -inf 66.4539
2.64 0 0 -20 0 LOS -inf 66.4544
2.65 0 0 -20 0 LOS -inf 66.455
2.66 0 0 -20 0 LOS -inf 66.4556
2.67 0 0 -20 0 LOS -inf 66.4561
2.68 0 0 -20 0 LOS -inf 66.4567
2.69 0 0 -20 0 LOS -inf 66.4573
2.7 0 0 -20 0 LOS -inf 66.4578
2.71 0 0 -20 0 LOS -inf 66.4584
2.72 0 0 -20 0 LOS -inf 66.459
2.73 0 0 -20 0 LOS -inf 66.4596
2.74 0 0 -20 0 LOS -inf 66.4602
2.75 0 0 -20 0 LOS -inf 66.4607
2.76 0 0 -20 0 LOS -inf 66.4613
2.77 0 0 -20 0 LOS -inf 66.4619
2.78 0 0 -20 0 LOS -inf 66.4625
2.79 0 0 -20 0 LOS -inf 66.4631
2.8 0 0 -20 0 LOS -inf 66.4637
2.81 0 0 -20 0 LOS -inf 66.4643
2.82 0 0 -20 0 LOS -inf 66.4649
2.83 0 0 -20 0 LOS -inf 66.4655
2.84 0 0 -20 0 LOS -inf 66.4661
2.85 0 0 -20 0 LOS -inf 66.4667
2.86 0 0 -20 0 LOS -inf 66.4673
2.87 0 0 -20 0 LOS -inf 66.4679
2.88 0 0 -20 0 LOS -inf 66.4685
2.89 0 0 -20 0 LOS -inf 66.4691
2.9 0 0 -20 0 LOS -inf 66.4698
2.91 0 0 -20 0 LOS -inf 66.4704
2.92 0 0 -20 0 LOS -inf 66.471
2.93 0 0 -20 0 LOS -inf 66.4716
2.94 0 0 -20 0 LOS -inf 66.4722
2.95 0 0 -20 0 LOS -inf 66.4729
2.96 0 0 -20 0 LOS -inf 66.4735
2.97 0 0 -20 0 LOS -inf 66.4741
2.98 0 0 -20 0 LOS -inf 66.4748
2.99 0 0 -20 0 LOS -inf 66.4754
3 0 0 -20 0 LOS -inf 66.476
3.01 0 0 -20 0 LOS -inf 66.4767
3.02 0 0 -20 0 LOS -inf 66.4773
3.03 0 0 -20 0 LOS -inf 66.478
3.04 0 0 -20 0 LOS -inf 66.4786
3.05 0 0 -20 0 LOS -inf 66.4792
3.06 0 0 -20 0 LOS -inf 66.4799
3.07 0 0 -20 0 LOS -inf 66.4805
3.08 0 0 -20 0 LOS -inf 66.4812
3.09 0 0 -20 0 LOS -inf 66.4818
3.1 0 0 -20 0 LOS -inf 66.4825
3.11 0 0 -20 0 LOS -inf 66.4832
3.12 0 0 -20 0 LOS -inf 66.4838
3.13 0 0 -20 0 LOS -inf 66.4845
3.14 0 0 -20 0 LOS -inf 66.4852
3.15 0 0 -20 0 LOS -inf 66.4858
3.16 0 0 -20 0 LOS -inf 66.4865
3.17 0 0 -20 0 LOS -inf 66.4872
3.18 0 0 -20 0 LOS -inf 66.4878
3.19 0 0 -20 0 LOS -inf 66.4885
3.2 0 0 -20 0 LOS -inf 66.4892
3.21 0 0 -20 0 LOS -inf 66.4899
3.22 0 0 -20 0 LOS -inf 66.4905
3.23 0 0 -20 0 LOS -inf 66.4912
3.24 0 0 -20 0 LOS -inf 66.4919
3.25 0 0 -20 0 LOS -inf 66.4926
3.26 0 0 -20 0 LOS -inf 66.4933
3.27 0 0 -20 0 LOS -inf 66.494
3.28 0 0 -20 0 LOS -inf 66.4947
3.29 0 0 -20 0 LOS -inf 66.4954
3.3 0 0 -20 0 LOS -inf 66.4961
3.31 0 0 -20 0 LOS -inf 66.4968
3.32 0 0 -20 0 LOS -inf 66.4975
3.33 0 0 -20 0 LOS -inf 66.4982
3.34 0 0 -20 0 LOS -inf 66.4989
3.35 0 0 -20 0 LOS -inf 66.4996
3.36 0 0 -20 0 LOS -inf 66.5003
3.37 0 0 -20 0 LOS -inf 66.501
3.38 0 0 -20 0 LOS -inf 66.5017
3.39 0 0 -20 0 LOS -inf 66.5024
3.4 0 0 -20 0 LOS -inf 66.5031
3.41 0 0 -20 0 LOS -inf 66.5039
3.42 0 0 -20 0 LOS -inf 66.5046
3.43 0 0 -20 0 LOS -inf 66.5053
3.44 0 0 -20 0 LOS -inf 66.506
3.45 0 0 -20 0 LOS -inf 66.5067
3.46 0 0 -20 0 LOS -inf 66.5075
3.47 0 0 -20 0 LOS -inf 66.5082
3.48 0 0 -20 0 LOS -inf 66.5089
3.49 0 0 -20 0 LOS -inf 66.5097
3.5 0 0 -20 0 LOS -inf 66.5104
3.51 0 0 -20 0 LOS -inf 66.5111
3.52 0 0 -20 0 LOS -inf 66.5119
3.53 0 0 -20 0 LOS -inf 66.5126
3.54 0 0 -20 0 LOS -inf 66.5134
3.55 0 0 -20 0 LOS -inf 66.5141
3.56 0 0 -20 0 LOS -inf 66.5149
3.57 0 0 -20 0 LOS -inf 66.5156
3.58 0 0 -20 0 LOS -inf 66.5164
3.59 0 0 -20 0 LOS -inf 66.5171
3.6 0 0 -20 0 LOS -inf 66.5179
3.61 0 0 -20 0 LOS -inf 66.5186
3.62 0 0 -20 0 LOS -inf 66.5194
3.63 0 0 -20 0 LOS -inf 66.5202
3.64 0 0 -20 0 LOS -inf 66.5209
3.65 0 0 -20 0 LOS -inf 66.5217
3.66 0 0 -20 0 LOS -inf 66.5225
3.67 0 0 -20 0 LOS -inf 66.5232
3.68 0 0 -20 0 LOS -inf 66.524
3.69 0 0 -20 0 LOS -inf 66.5248
3.7 0 0 -20 0 LOS -inf 66.5256
3.71 0 0 -20 0 LOS -inf 66.5263
3.72 0 0 -20 0 LOS -inf 66.5271
3.73 0 0 -20 0 LOS -inf 66.5279
3.74 0 0 -20 0 LOS -inf 66.5287
3.75 0 0 -20 0 LOS -inf 66.5295
3.76 0 0 -20 0 LOS -inf 66.5302
3.77 0 0 -20 0 LOS -inf 66.531
3.78 0 0 -20 0 LOS -inf 66.5318
3.79 0 0 -20 0 LOS -inf 66.5326
3.8 0 0 -20 0 LOS -inf 66.5334
3.81 0 0 -20 0 LOS -inf 66.5342
3.82 0 0 -20 0 LOS -inf 66.535
3.83 0 0 -20 0 LOS -inf 66.5358
3.84 0 0 -20 0 LOS -inf 66.5366
3.85 0 0 -20 0 LOS -inf 66.5374
3.86 0 0 -20 0 LOS -inf 66.5382
3.87 0 0 -20 0 LOS -inf 66.539
3.88 0 0 -20 0 LOS -inf 66.5399
3.89 0 0 -20 0 LOS -inf 66.5407
3.9 0 0 -20 0 LOS -inf 66.5415
3.91 0 0 -20 0 LOS -inf 66.5423
3.92 0 0 -20 0 LOS -inf 66.5431
3.93 0 0 -20 0 LOS -inf 66.5439
3.94 0 0 -20 0 LOS -inf 66.5448
3.95 0 0 -20 0 LOS -inf 66.5456
3.96 0 0 -20 0 LOS -inf 66.5464
3.97 0 0 -20 0 LOS -inf 66.5472
3.98 0 0 -20 0 LOS -inf 66.5481
3.99 0 0 -20 0 LOS -inf 66.5489
4 0 0 -20 0 LOS -inf 66.5497
4.01 0 0 -20 0 LOS -inf 66.5506
4.02 0 0 -20 0 LOS -inf 66.5514
4.03 0 0 -20 0 LOS -inf 66.5522
4.04 0 0 -20 0 LOS -inf 66.5531
4.05 0 0 -20 0 LOS -inf 66.5539
4.06 0 0 -20 0 LOS -inf 66.5548
4.07 0 0 -20 0 LOS -inf 66.5556
4.08 0 0 -20 0 LOS -inf 66.5565
4.09 0 0 -20 0 LOS -inf 66.5573
4.1 0 0 -20 0 LOS -inf 66.5582
4.11 0 0 -20 0 LOS -inf 66.559
4.12 0 0 -20 0 LOS -inf 66.5599
4.13 0 0 -20 0 LOS -inf 66.5608
4.14 0 0 -20 0 LOS -inf 66.5616
4.15 0 0 -20 0 LOS -inf 66.5625
4.16 0 0 -20 0 LOS -inf 66.5633
4.17 0 0 -20 0 LOS -inf 66.5642
4.18 0 0 -20 0 LOS -inf 66.5651
