theta_rad,phi_rad,gain_db
0.0837758,-2.38761,-20
0.146608,-2.38761,-20
0.20944,-2.38761,-20
0.272271,-2.38761,-20
0.335103,-2.38761,-20
0.397935,-2.38761,-20
0.460767,-2.38761,-20
0.523599,-2.38761,-20
0.586431,-2.38761,-20
0.649262,-2.38761,-20
0.712094,-2.38761,-20
0.774926,-2.38761,-20
0.837758,-2.38761,-20
0.90059,-2.38761,-20
0.963422,-2.38761,-20
1.02625,-2.38761,-20
-1.0472,-2.32478,-7.3008
-0.984366,-2.32478,-7.3008
-0.921534,-2.32478,-7.3008
-0.858702,-2.32478,-7.3008
-0.79587,-2.32478,-7.3008
-0.733038,-2.32478,-7.3008
-0.670206,-2.32478,-7.3008
-0.607375,-2.32478,-7.3008
-0.544543,-2.32478,-7.3008
-0.481711,-2.32478,-7.3008
-0.418879,-2.32478,-7.3008
-0.356047,-2.32478,-7.3008
-0.293215,-2.32478,-7.3008
-0.230383,-2.32478,-7.3008
-0.167552,-2.32478,-7.3008
-0.10472,-2.32478,-7.3008
-0.0418879,-2.32478,-7.3008
0.020944,-2.32478,-20
0.0837758,-2.32478,-20
0.146608,-2.32478,-20
0.20944,-2.32478,-20
0.272271,-2.32478,-20
0.335103,-2.32478,-20
0.397935,-2.32478,-20
0.460767,-2.32478,-20
0.523599,-2.32478,-20
0.586431,-2.32478,-20
0.649262,-2.32478,-20
0.712094,-2.32478,-20
0.774926,-2.32478,-20
0.837758,-2.32478,-20
0.90059,-2.32478,-20
0.963422,-2.32478,-20
1.02625,-2.32478,-20
-1.0472,-2.26195,-8.4672
-0.984366,-2.26195,-8.4672
-0.921534,-2.26195,-8.4672
-0.858702,-2.26195,-8.4672
-0.79587,-2.26195,-8.4672
-0.733038,-2.26195,-8.4672
-0.670206,-2.26195,-8.4672
-0.607375,-2.26195,-8.4672
-0.544543,-2.26195,-8.4672
-0.481711,-2.26195,-8.4672
-0.418879,-2.26195,-8.4672
-0.356047,-2.26195,-8.4672
-0.293215,-2.26195,-8.4672
-0.230383,-2.26195,-8.4672
-0.167552,-2.26195,-8.4672
-0.10472,-2.26195,-8.4672
-0.0418879,-2.26195,-8.4672
0.020944,-2.26195,-20
0.0837758,-2.26195,-20
0.146608,-2.26195,-20
0.20944,-2.26195,-20
0.272271,-2.26195,-20
0.335103,-2.26195,-20
0.397935,-2.26195,-20
0.460767,-2.26195,-20
0.523599,-2.26195,-20
0.586431,-2.26195,-20
0.649262,-2.26195,-20
0.712094,-2.26195,-20
0.774926,-2.26195,-20
0.837758,-2.26195,-20
0.90059,-2.26195,-20
0.963422,-2.26195,-20
1.02625,-2.26195,-20
-1.0472,-2.19911,-9.72
-0.984366,-2.19911,-9.72
-0.921534,-2.19911,-9.72
-0.858702,-2.19911,-9.72
-0.79587,-2.19911,-9.72
-0.733038,-2.19911,-9.72
-0.670206,-2.19911,-9.72
-0.607375,-2.19911,-9.72
-0.544543,-2.19911,-9.72
-0.481711,-2.19911,-9.72
-0.418879,-2.19911,-9.72
-0.356047,-2.19911,-9.72
-0.293215,-2.19911,-9.72
-0.230383,-2.19911,-9.72
-0.167552,-2.19911,-9.72
-0.10472,-2.19911,-9.72
-0.0418879,-2.19911,-9.72
0.020944,-2.19911,-20
0.0837758,-2.19911,-20
0.146608,-2.19911,-20
0.20944,-2.19911,-20
0.272271,-2.19911,-20
0.335103,-2.19911,-20
0.397935,-2.19911,-20
0.460767,-2.19911,-20
0.523599,-2.19911,-20
0.586431,-2.19911,-20
0.649262,-2.19911,-20
0.712094,-2.19911,-20
0.774926,-2.19911,-20
0.837758,-2.19911,-20
0.90059,-2.19911,-20
0.963422,-2.19911,-20
1.02625,-2.19911,-20
-1.0472,-2.13628,-11.0592
-0.984366,-2.13628,-11.0592
-0.921534,-2.13628,-11.0592
-0.858702,-2.13628,-11.0592
-0.79587,-2.13628,-11.0592
-0.733038,-2.13628,-11.0592
-0.670206,-2.13628,-11.0592
-0.607375,-2.13628,-11.0592
-0.544543,-2.13628,-11.0592
-0.481711,-2.13628,-11.0592
-0.418879,-2.13628,-11.0592
-0.356047,-2.13628,-11.0592
-0.293215,-2.13628,-11.0592
-0.230383,-2.13628,-11.0592
-0.167552,-2.13628,-11.0592
-0.10472,-2.13628,-11.0592
-0.0418879,-2.13628,-11.0592
0.020944,-2.13628,-20
0.0837758,-2.13628,-20
0.146608,-2.13628,-20
0.20944,-2.13628,-20
0.272271,-2.13628,-20
0.335103,-2.13628,-20
0.397935,-2.13628,-20
0.460767,-2.13628,-20
0.523599,-2.13628,-20
0.586431,-2.13628,-20
0.649262,-2.13628,-20
0.712094,-2.13628,-20
0.774926,-2.13628,-20
0.837758,-2.13628,-20
0.90059,-2.13628,-20
0.963422,-2.13628,-20
1.02625,-2.13628,-20
-1.0472,-2.07345,-12.4848
-0.984366,-2.07345,-12.4848
-0.921534,-2.07345,-12.4848
-0.858702,-2.07345,-12.4848
-0.79587,-2.07345,-12.4848
-0.733038,-2.07345,-12.4848
-0.670206,-2.07345,-12.4848
-0.607375,-2.07345,-12.4848
-0.544543,-2.07345,-12.4848
-0.481711,-2.07345,-12.4848
-0.418879,-2.07345,-12.4848
-0.356047,-2.07345,-12.4848
-0.293215,-2.07345,-12.4848
-0.230383,-2.07345,-12.4848
-0.167552,-2.07345,-12.4848
-0.10472,-2.07345,-12.4848
-0.0418879,-2.07345,-12.4848
0.020944,-2.07345,-20
0.0837758,-2.07345,-20
0.146608,-2.07345,-20
0.20944,-2.07345,-20
0.272271,-2.07345,-20
0.335103,-2.07345,-20
0.397935,-2.07345,-20
0.460767,-2.07345,-20
0.523599,-2.07345,-20
0.586431,-2.07345,-20
0.649262,-2.07345,-20
0.712094,-2.07345,-20
0.774926,-2.07345,-20
0.837758,-2.07345,-20
0.90059,-2.07345,-20
0.963422,-2.07345,-20
1.02625,-2.07345,-20
-1.0472,-2.01062,-13.9968
-0.984366,-2.01062,-13.9968
-0.921534,-2.01062,-13.9968
-0.858702,-2.01062,-13.9968
-0.79587,-2.01062,-13.9968
-0.733038,-2.01062,-13.9968
-0.670206,-2.01062,-13.9968
-0.607375,-2.01062,-13.9968
-0.544543,-2.01062,-13.9968
-0.481711,-2.01062,-13.9968
-0.418879,-2.01062,-13.9968
-0.356047,-2.01062,-13.9968
-0.293215,-2.01062,-13.9968
-0.230383,-2.01062,-13.9968
-0.167552,-2.01062,-13.9968
-0.10472,-2.01062,-13.9968
-0.0418879,-2.01062,-13.9968
0.020944,-2.01062,-20
0.0837758,-2.01062,-20
0.146608,-2.01062,-20
0.20944,-2.01062,-20
0.272271,-2.01062,-20
0.335103,-2.01062,-20
0.397935,-2.01062,-20
0.460767,-2.01062,-20
0.523599,-2.01062,-20
0.586431,-2.01062,-20
0.649262,-2.01062,-20
0.712094,-2.01062,-20
0.774926,-2.01062,-20
0.837758,-2.01062,-20
0.90059,-2.01062,-20
0.963422,-2.01062,-20
1.02625,-2.01062,-20
-1.0472,-1.94779,-15.5952
-0.984366,-1.94779,-15.5952
-0.921534,-1.94779,-15.5952
-0.858702,-1.94779,-15.5952
-0.79587,-1.94779,-15.5952
-0.733038,-1.94779,-15.5952
-0.670206,-1.94779,-15.5952
-0.607375,-1.94779,-15.5952
-0.544543,-1.94779,-15.5952
-0.481711,-1.94779,-15.5952
-0.418879,-1.94779,-15.5952
-0.356047,-1.94779,-15.5952
-0.293215,-1.94779,-15.5952
-0.230383,-1.94779,-15.5952
-0.167552,-1.94779,-15.5952
-0.10472,-1.94779,-15.5952
-0.0418879,-1.94779,-15.5952
0.020944,-1.94779,-20
0.0837758,-1.94779,-20
0.146608,-1.94779,-20
0.20944,-1.94779,-20
0.272271,-1.94779,-20
0.335103,-1.94779,-20
0.397935,-1.94779,-20
0.460767,-1.94779,-20
0.523599,-1.94779,-20
0.586431,-1.94779,-20
0.649262,-1.94779,-20
0.712094,-1.94779,-20
0.774926,-1.94779,-20
0.837758,-1.94779,-20
0.90059,-1.94779,-20
0.963422,-1.94779,-20
1.02625,-1.94779,-20
-1.0472,-1.88496,-17.28
-0.984366,-1.88496,-17.28
-0.921534,-1.88496,-17.28
-0.858702,-1.88496,-17.28
-0.79587,-1.88496,-17.28
-0.733038,-1.88496,-17.28
-0.670206,-1.88496,-17.28
-0.607375,-1.88496,-17.28
-0.544543,-1.88496,-17.28
-0.481711,-1.88496,-17.28
-0.418879,-1.88496,-17.28
-0.356047,-1.88496,-17.28
-0.293215,-1.88496,-17.28
-0.230383,-1.88496,-17.28
-0.167552,-1.88496,-17.28
-0.10472,-1.88496,-17.28
-0.0418879,-1.88496,-17.28
0.020944,-1.88496,-20
0.0837758,-1.88496,-20
0.146608,-1.88496,-20
0.20944,-1.88496,-20
0.272271,-1.88496,-20
0.335103,-1.88496,-20
0.397935,-1.88496,-20
0.460767,-1.88496,-20
0.523599,-1.88496,-20
0.586431,-1.88496,-20
0.649262,-1.88496,-20
0.712094,-1.88496,-20
0.774926,-1.88496,-20
0.837758,-1.88496,-20
0.90059,-1.88496,-20
0.963422,-1.88496,-20
1.02625,-1.88496,-20
-1.0472,-1.82212,-19.0512
-0.984366,-1.82212,-19.0512
-0.921534,-1.82212,-19.0512
-0.858702,-1.82212,-19.0512
-0.79587,-1.82212,-19.0512
-0.733038,-1.82212,-19.0512
-0.670206,-1.82212,-19.0512
-0.607375,-1.82212,-19.0512
-0.544543,-1.82212,-19.0512
-0.481711,-1.82212,-19.0512
-0.418879,-1.82212,-19.0512
-0.356047,-1.82212,-19.0512
-0.293215,-1.82212,-19.0512
-0.230383,-1.82212,-19.0512
-0.167552,-1.82212,-19.0512
-0.10472,-1.82212,-19.0512
-0.0418879,-1.82212,-19.0512
0.020944,-1.82212,-20
0.0837758,-1.82212,-20
0.146608,-1.82212,-20
0.20944,-1.82212,-20
0.272271,-1.82212,-20
0.335103,-1.82212,-20
0.397935,-1.82212,-20
0.460767,-1.82212,-20
0.523599,-1.82212,-20
0.586431,-1.82212,-20
0.649262,-1.82212,-20
0.712094,-1.82212,-20
0.774926,-1.82212,-20
0.837758,-1.82212,-20
0.90059,-1.82212,-20
0.963422,-1.82212,-20
1.02625,-1.82212,-20
-1.0472,-1.75929,-20
-0.984366,-1.75929,-20
-0.921534,-1.75929,-20
-0.858702,-1.75929,-20
-0.79587,-1.75929,-20
-0.733038,-1.75929,-20
-0.670206,-1.75929,-20
-0.607375,-1.75929,-20
-0.544543,-1.75929,-20
-0.481711,-1.75929,-20
-0.418879,-1.75929,-20
-0.356047,-1.75929,-20
-0.293215,-1.75929,-20
-0.230383,-1.75929,-20
-0.167552,-1.75929,-20
-0.10472,-1.75929,-20
-0.0418879,-1.75929,-20
0.020944,-1.75929,-20
0.0837758,-1.75929,-20
0.146608,-1.75929,-20
0.20944,-1.75929,-20
0.272271,-1.75929,-20
0.335103,-1.75929,-20
0.397935,-1.75929,-20
0.460767,-1.75929,-20
0.523599,-1.75929,-20
0.586431,-1.75929,-20
